table_id,page_number,table_name
TBL-0108,281,函館病院費1(大正元-昭和22)
TBL-0108,282,函館病院費1(大正元-昭和22)
TBL-0108,283,函館病院費1(大正元-昭和22)
TBL-0109,284,函館病院費2-1(昭和23-38)昭和34年より病院費
TBL-0109,285,函館病院費2-1(昭和23-38)昭和34年より病院費
TBL-0109,286,函館病院費2-1(昭和23-38)昭和34年より病院費
TBL-0110,287,函館病院費2-2(昭和23-38)昭和34年より病院費
TBL-0110,288,函館病院費2-2(昭和23-38)昭和34年より病院費
TBL-0110,289,函館病院費2-2(昭和23-38)昭和34年より病院費
TBL-0111,290,大森町有財産(昭和13-55)
TBL-0111,291,大森町有財産(昭和13-55)
TBL-0112,292,自転車競争事業費1(昭和25-38)
TBL-0113,292,自転車競争事業費2(昭和39-55)
TBL-0112,293,自転車競争事業費1(昭和25-38)
TBL-0113,293,自転車競争事業費2(昭和39-55)
TBL-0112,294,自転車競争事業費1(昭和25-38)
TBL-0113,294,自転車競争事業費2(昭和39-55)
TBL-0114,295,魚卸売市場事業費(昭和40-55)昭和47より水産物地方卸売市場事業費
TBL-0115,296,奨学資金(昭和26-55)
TBL-0115,297,奨学資金(昭和26-55)
TBL-0116,298,港湾事業費1(昭和32-38)
TBL-0116,299,港湾事業費1(昭和32-38)
TBL-0117,300,港湾事業費2-1(昭和39-55)
TBL-0117,301,港湾事業費2-1(昭和39-55)
TBL-0117,302,港湾事業費2-1(昭和39-55)
TBL-0118,303,港湾事業費2-2(昭和39-55)
TBL-0118,304,港湾事業費2-2(昭和39-55)
TBL-0118,305,港湾事業費2-2(昭和39-55)
TBL-0119,306,と畜場費(昭和32-55)昭和47より食肉センター事業費
TBL-0119,307,と畜場費(昭和32-55)昭和47より食肉センター事業費
TBL-0120,307,国民健康保険事業費1(昭和33-38)
TBL-0121,308,国民健康保険事業費2(昭和39-55)
TBL-0121,309,国民健康保険事業費2(昭和39-55)
TBL-0121,310,国民健康保険事業費2(昭和39-55)
TBL-0122,311,下水道事業費(昭和37-55)
TBL-0122,312,下水道事業費(昭和37-55)
TBL-0122,313,下水道事業費(昭和37-55)
TBL-0123,314,交通災害共済事業費(昭和43-55)
TBL-0124,314,育英資金(昭和44-55)
TBL-0125,314,中央卸売市場事業(昭和47-49)
TBL-0123,315,交通災害共済事業費(昭和43-55)
TBL-0124,315,育英資金(昭和44-55)
TBL-0126,315,社会福祉施設整備資金(昭和50-55)
TBL-0127,316,企業会計水道事業1-1(昭和27-55)
TBL-0127,317,企業会計水道事業1-1(昭和27-55)
TBL-0127,318,企業会計水道事業1-1(昭和27-55)
TBL-0127,319,企業会計水道事業1-1(昭和27-55)
TBL-0127,320,企業会計水道事業1-1(昭和27-55)
TBL-0128,321,企業会計水道事業1-2(昭和27-55)
TBL-0128,322,企業会計水道事業1-2(昭和27-55)
TBL-0128,323,企業会計水道事業1-2(昭和27-55)
TBL-0128,324,企業会計水道事業1-2(昭和27-55)
TBL-0128,325,企業会計水道事業1-2(昭和27-55)
TBL-0129,326,企業会計温泉事業1-1(昭和42-55)
TBL-0129,327,企業会計温泉事業1-1(昭和42-55)
TBL-0130,328,企業会計温泉事業1-2(昭和42-55)
TBL-0130,329,企業会計温泉事業1-2(昭和42-55)
TBL-0131,330,企業会計交通事業1-1(昭和27-55)
TBL-0131,331,企業会計交通事業1-1(昭和27-55)
TBL-0131,332,企業会計交通事業1-1(昭和27-55)
TBL-0131,333,企業会計交通事業1-1(昭和27-55)
TBL-0131,334,企業会計交通事業1-1(昭和27-55)
TBL-0132,335,企業会計交通事業1-2(昭和27-55)
TBL-0132,336,企業会計交通事業1-2(昭和27-55)
TBL-0132,337,企業会計交通事業1-2(昭和27-55)
TBL-0132,338,企業会計交通事業1-2(昭和27-55)
TBL-0132,339,企業会計交通事業1-2(昭和27-55)
TBL-0133,340,企業会計病院事業1-1(昭和39-55)
TBL-0133,341,企業会計病院事業1-1(昭和39-55)
TBL-0133,342,企業会計病院事業1-1(昭和39-55)
TBL-0134,343,企業会計病院事業1-2(昭和39-55)
TBL-0134,344,企業会計病院事業1-2(昭和39-55)
TBL-0134,345,企業会計病院事業1-2(昭和39-55)
TBL-0135,346,企業会計病院事業1-3(昭和39-55)
TBL-0135,347,企業会計病院事業1-3(昭和39-55)
TBL-0135,348,企業会計病院事業1-3(昭和39-55)
TBL-0136,349,企業会計中央卸売市場事業(昭和50-55)
TBL-0137,350,企業会計港湾埋立事業(昭和37-47)
TBL-0137,351,企業会計港湾埋立事業(昭和37-47)
TBL-0138,352,区税
TBL-0138,353,区税
TBL-0138,354,区税
TBL-0139,355,市税
TBL-0140,356,市税2
TBL-0140,357,市税2
TBL-0141,358,市税3
TBL-0141,359,市税3
TBL-0142,360,地方税
TBL-0142,361,地方税
TBL-0142,362,地方税
TBL-0142,363,地方税
TBL-0143,364,国税
TBL-0143,365,国税
TBL-0144,366,区会議員選挙
TBL-0144,367,区会議員選挙
TBL-0144,368,区会議員選挙
TBL-0144,369,区会議員選挙
TBL-0144,370,区会議員選挙
TBL-0144,371,区会議員選挙
TBL-0144,372,区会議員選挙
TBL-0144,373,区会議員選挙
TBL-0144,374,区会議員選挙
TBL-0144,375,区会議員選挙
TBL-0144,376,区会議員選挙
TBL-0144,377,区会議員選挙
TBL-0144,378,区会議員選挙
TBL-0145,379,市会議員選挙
TBL-0145,380,市会議員選挙
TBL-0145,381,市会議員選挙
TBL-0145,382,市会議員選挙
TBL-0145,383,市会議員選挙
TBL-0145,384,市会議員選挙
TBL-0146,385,函館区・市会議員選挙執行状況
TBL-0147,386,北海道議会議員選挙
TBL-0147,387,北海道議会議員選挙
TBL-0147,388,北海道議会議員選挙
TBL-0148,389,北海道会議員選挙執行状況
TBL-0149,390,衆議院議員選挙
TBL-0149,391,衆議院議員選挙
TBL-0149,392,衆議院議員選挙
TBL-0150,393,衆議院議員選挙執行状況
TBL-0151,394,衆議院議員北海道地方区選挙
TBL-0151,395,衆議院議員北海道地方区選挙
TBL-0152,398,農業戸数・人口・耕地
TBL-0152,399,農業戸数・人口・耕地
TBL-0153,400,農家数・農家人口
TBL-0154,401,経営耕地別面積
TBL-0155,402,主要農作物作付面積・収穫高〈戦前〉
TBL-0155,403,主要農作物作付面積・収穫高〈戦前〉
TBL-0156,404,主要農作物作付面積・収穫高〈戦後〉
TBL-0156,405,主要農作物作付面積・収穫高〈戦後〉
TBL-0157,406,家畜・家舎
TBL-0158,407,家畜飼養戸数・頭数
TBL-0159,408,生売水産物数量
TBL-0159,409,生売水産物数量
TBL-0160,410,生売水産物金額
TBL-0160,411,生売水産物金額
TBL-0161,412,輸出生魚数量・金額
TBL-0161,413,輸出生魚数量・金額
TBL-0162,414,製造水産物数量1-1
TBL-0162,415,製造水産物数量1-1
TBL-0162,416,製造水産物数量1-1
TBL-0163,417,製造水産物数量1-2
TBL-0163,418,製造水産物数量1-2
TBL-0163,419,製造水産物数量1-2
TBL-0164,420,製造水産物金額1-1
TBL-0164,421,製造水産物金額1-1
TBL-0164,422,製造水産物金額1-1
TBL-0165,423,製造水産物金額1-2
TBL-0165,424,製造水産物金額1-2
TBL-0165,425,製造水産物金額1-2
TBL-0166,426,水産製品生産量1-1
TBL-0166,427,水産製品生産量1-1
TBL-0166,428,水産製品生産量1-1
TBL-0166,429,水産製品生産量1-1
TBL-0167,430,水産製品生産量1-2
TBL-0167,431,水産製品生産量1-2
TBL-0167,432,水産製品生産量1-2
TBL-0167,433,水産製品生産量1-2
TBL-0168,434,水産製品生産量1-3
TBL-0168,435,水産製品生産量1-3
TBL-0168,436,水産製品生産量1-3
TBL-0168,437,水産製品生産量1-3
TBL-0169,438,水産製品生産金額1-1
TBL-0169,439,水産製品生産金額1-1
TBL-0169,440,水産製品生産金額1-1
TBL-0169,441,水産製品生産金額1-1
TBL-0170,442,水産製品生産金額1-2
TBL-0170,443,水産製品生産金額1-2
TBL-0170,444,水産製品生産金額1-2
TBL-0170,445,水産製品生産金額1-2
TBL-0171,446,水産製品生産金額1-3
TBL-0171,447,水産製品生産金額1-3
TBL-0171,448,水産製品生産金額1-3
TBL-0171,449,水産製品生産金額1-3
TBL-0172,450,魚種別漁獲量
TBL-0173,451,魚種別漁獲金額
TBL-0172,452,魚種別漁獲量
TBL-0172,453,魚種別漁獲量
TBL-0172,454,魚種別漁獲量
TBL-0172,455,魚種別漁獲量
TBL-0173,456,魚種別漁獲金額
TBL-0173,457,魚種別漁獲金額
TBL-0173,458,魚種別漁獲金額
TBL-0173,459,魚種別漁獲金額
TBL-0174,460,漁業別漁獲量
TBL-0175,461,漁業別漁獲金額
TBL-0174,462,漁業別漁獲量
TBL-0175,463,漁業別漁獲金額
TBL-0174,464,漁業別漁獲量
TBL-0174,465,漁業別漁獲量
TBL-0175,466,漁業別漁獲金額
TBL-0175,467,漁業別漁獲金額
TBL-0176,468,水産業家　戸数・人口
TBL-0177,469,魚網
TBL-0178,469,漁船
TBL-0177,470,魚網
TBL-0178,470,漁船
TBL-0179,471,漁夫入稼出稼
TBL-0180,472,漁業経営体・漁業者1-1
TBL-0180,473,漁業経営体・漁業者1-1
TBL-0180,474,漁業経営体・漁業者1-1
TBL-0180,475,漁業経営体・漁業者1-1
TBL-0181,476,漁業経営体・漁業者1-2
TBL-0181,477,漁業経営体・漁業者1-2
TBL-0181,478,漁業経営体・漁業者1-2
TBL-0181,479,漁業経営体・漁業者1-2
TBL-0182,480,漁業経営体・漁業者1-3
TBL-0182,481,漁業経営体・漁業者1-3
TBL-0182,482,漁業経営体・漁業者1-3
TBL-0182,483,漁業経営体・漁業者1-3
TBL-0183,484,漁業経営体・漁業者1-4
TBL-0183,485,漁業経営体・漁業者1-4
TBL-0183,486,漁業経営体・漁業者1-4
TBL-0183,487,漁業経営体・漁業者1-4
TBL-0184,488,租借、経営鮭鱒漁区数・魚種別漁獲量
TBL-0185-01,489,監視区別経営漁区数・魚種別漁獲量_西南区
TBL-0185-02,489,監視区別経営漁区数・魚種別漁獲量_サガレン区
TBL-0185-03,490,監視区別経営漁区数・魚種別漁獲量_ギジギンスキー区
TBL-0185-04,490,監視区別経営漁区数・魚種別漁獲量_オホトスキー区
TBL-0185-05,491,監視区別経営漁区数・魚種別漁獲量_イーチンスキー区
TBL-0185-06,491,監視区別経営漁区数・魚種別漁獲量_西カムチャツカ区
TBL-0185-07,492,監視区別経営漁区数・魚種別漁獲量_東カムチャツカ区
TBL-0185-08,492,監視区別経営漁区数・魚種別漁獲量_カラギンスキー区
TBL-0185-09,493,監視区別経営漁区数・魚種別漁獲量_オリユートル区
TBL-0186,494,塩鮭鱒生産量
TBL-0187,495,鮭鱒蟹缶詰生産量・金額
TBL-0187,496,鮭鱒蟹缶詰生産量・金額
TBL-0188,496,使用船舶数・トン数
TBL-0189,497,使用魚舟数
TBL-0190,498,漁業塩産出国別使用量
